,,,,,,,,,,,,,,,BIOCHEMICAL ASSAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCTIONAL ASSAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Gram Positive Cocci,,,,,,,,,,,,Gram Positive Bacilli,,,,,,,,Gram Negative Cocci,,,,Gram Negative Bacilli ,,,,,,,,,Carbohydrate Polymer Degradation,,,,,,,,Nitrogen Fixation,,,,,,,,,,,,,,,,,Plant Growth Promotion Assays,,,,,,,,,,,,,Antibiotic Production,,,,,,,,Antibiotic Resistance   (ZOC measured in mm),,,,,,,,,,,,,,,,,,,,,,,
Isolate ID,Isolate Status,Field,Date of Last Streak,Isolate Purity,Number of Streaks Performed,Media Type,Colony Morphology,Colony Morphology 2nd streak,Cellular Morphology,Size (um),Motility,Gram Stain,Submitted for Sequencing?,Cryogenic Information,Catalase ,,,,Mannitol Fermentation,,,,Yellow Pigment,,,,Spore Forming,,,,Catalase,,,,Glucose Fermentation,,,,Oxidase Test,,,,Glucose Fermentation,,,,,Cellulase Production (radius in mm),,,,Xylanase Production (radius in mm),,,,Grows on N2-BAP,,,,Grows on DF min. media,,,,Grows on JMV media,,,,Grows on NF-b media,,,,PCR nifH gene,Siderophore Production (radius in mm),,,,Phosphate Solubilization (radius in mm),,,,,,,,,Gram Positive,,,,Gram Negative,,,,E15,,,,CXM30,,,,RA5,,,,SXT,,,,TE30,,,,Daptomycin,,,
,,,,,,,,,,,,,,,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,Trial 1,Trial 2,Trial 3,Overall,,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Trial Average,Control for Trial 1,Control for Trial 2,Control for Trial 3,Control Average,Overall,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average,Trial 1,Trial 2,Trial 3,Average
F18UCLA1091QS30I1,Active,23w1,11/1/2018,Not pure,5,ISP4,Orange-pink,"Form:circular, Elevation: umbonate; margin:curled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I2,Active,23w1,11/1/2018,Not pure,5,ISP4,Light orange-white,"Form: circular, Elevation: umbonate; margin: curled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I3,Active,23w1,10/30/2018,Not pure,4,ISP4,"Lots of tiny colonies in quadrant 2, largest colony has diameter of 3mm","Form: circular, Elevation: Crateriform; margin: entire",Bacillus Clustered,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,14.7,390,18,141,30,178,50,86,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I4,Active,23w1,11/1/2018,Pure,5,ISP4,"Lots of tiny colonies in quadrant 2, largest colony has diameter of 3mm","Form: circular, Elevation: convex ; margin: entire Elevation: Crateriform",Bacillus,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,12.5,17.8,23,17.77,30,178,50,86,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I5,Active,23w1,10/30/2018,Not pure,4,ISP4,"Lots of tiny colonies in quadrant 1, largest colony has diameter less than 1mm","Form: circular, Elevation: convex ; margin: entire Elevation: Crateriform",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.61,240,28,90.54,30,178,50,86,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I6,Active,23w1,11/1/2018,Not pure,5,ISP4,Yellow-ish,"Form: circular, Elevation: umbonate; margin: curled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I7,Active,23w1,10/30/2018,Not pure,4,ISP4,"Lots of tiny colonies in quadrant 2, largest colony has diameter of 2mm","circular, umbonate, curl ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I8,Active,23w1,11/1/2018,Pure,5,ISP4,Relatively colorless,"Circular, convex, curl",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3.1,17.8,7.78,9.56,330,178,430,312.6666667,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I9,Active,23w1,10/30/2018,Not pure,4,ISP4,Relatively colorless,"Form: circular, Elevation: convex ; margin: entire Elevation: Crateriform",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,30,30,44,34.67,330,178,430,312.6666667,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I10,Active,23w1,11/1/2018,Pure,5,ISP4,same as 7,"circular, crateriform, curled",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,9.6,12.5,7.78,9.96,330,178,430,312.6666667,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I11,Active,28d,10/25/2018,Not pure,5,ISP4,"Red/pink, crusty, no individual colonies","Pink bottom and white top, small, circular, convex, entire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I12,Active,28d,10/25/2018,Not pure,5,ISP4,"Tan, opaque, many small colonies","White, small, circular, raised, entire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I13,Active,28d,10/25/2018,Pure,4,ISP4,"Dark tan, translucent, many large colonies","Tan, medium, circular, raised, entire",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4.4,44,7.78,18.73,480,44,124,216,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I14,Active,28d,10/25/2018,Pure,5,ISP4,"Dark tan, opaque, no individual colonies","Tan and white, small, circular, raised, entire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I15,Active,28d,10/25/2018,Not pure,3,ISP4,Nothing,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I16,Active,28d,10/25/2018,Not pure,3,ISP4,"Tan, opaque, some small colonies","Circular, small, white, raised, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I17,Active,28d,10/30/2018,Not pure,4,ISP4,"Dark tan, translucent, some large colonies","Dark tan, medium, circular, umbonate, entire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I18w,Active,28d,10/25/2018,Pure,3,ISP4,"Red/pink, opaque, many colonies (some colonies are tan)","Pink and yellow, small, circular, flat, entire",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,280,44,124,149.3333333,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I18r,Active,28d,11/1/2018,Pure,2,ISP4,Red opaque color,"Red, circular, flat, entire",Actinomycetes,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112.5,21,44.5,280,44,124,149.3333333,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I19,Active,28d,10/25/2018,Not pure,3,ISP4,"Tan, opaque, no individual colonies","Tan, small, circular, raised, entire",Bacillus,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,280,80,240,200,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30I20,Active,28d,10/25/2018,Not pure,3,ISP4,"Red/pink, opaque, many small colonies","Pink bottom and white top, tumor, circular, convex, entire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R21,Active,23w1,10/25/2018,Not pure,1,R2A,biofilm still persists on the plate. A couple of colonies are present but still covered by biofilm.,Biofilm still present.: Circular; Elevation: Convex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R22,Active,23w1,10/25/2018,Pure,3,R2A,biofilm are present. There are two of the same big colonies that are separated from the biofilm.,Bio film still present the same as before. Form: Circular; Elvation: Flat; Possible that it's not pure.,Bacillus Chain,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6.5,7.78,30,14.77,30,80,240,116.6666667,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R23,Active,23w1,10/25/2018,Pure,3,R2A,a lot of biofilm present. Two different colonies are present,Bio film still present the same as before. Form: Circular; Elvation: Flat; ,Bacillus Chain,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,150,7.78,44,67.26,30,80,240,116.6666667,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R24,Active,23w1,10/25/2018,Not pure,3,R2A,biofilm covers the whole plate. Only a few colonies are visible so might need to be incubated more.,Bio film still present the same as before. Form: Circular; Elvation: Flat; Possible that it's not pure.,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R25,Active,23w1,10/25/2018,Pure,3,R2A,biofilm covers the whole plate. Only a few colonies are visible so might need to be incubated more.,Form: circular; Elevation: Raised; Margin: Curled,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F18UCLA1091QS30R26,Active,23w1,10/25/2018,Pure,3,R2A,There is a yellow-ish biofilm separated from prominent cloudy biofilm. Little colonies are hard to distinguish.,Bio film still present the same as before. Form: Circular; Elvation: Flat; Possible that it's not pure.,Cocci,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61.1,30,0,30.37,193,60,350,201,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
